Country,ISO3,Relig (%),Src,Year,Suicide(/100k),GDP (USD),Unemp (%),Soc Sup (%),Group,Pop (M)
Togo,TGO,90.0,P,2018,4.6,715.0,2.1,66.0,High,8.1
Congo,COG,90.0,P,2018,7.8,1801.0,11.5,76.0,High,5.4
Philippines,PHL,90.0,W,2020,3.2,3485.0,2.5,91.0,High,108.1
Madagascar,MDG,90.0,P,2018,7.1,522.0,1.8,65.0,High,26.9
Angola,AGO,90.0,P,2018,8.9,2789.0,7.7,72.0,High,31.8
Mozambique,MOZ,89.0,P,2018,8.2,501.0,3.1,65.0,High,30.4
Haiti,HTI,89.0,P,2019,4.7,1240.0,14.6,68.0,High,11.3
Burkina Faso,BFA,89.0,P,2018,4.3,745.0,4.7,68.0,High,20.3
Morocco,MAR,89.0,W,2020,4.1,3242.0,9.2,78.0,High,36.5
Sri Lanka,LKA,88.0,W,2020,14.6,3852.0,4.4,82.0,High,21.8
UAE,ARE,88.0,G,2019,2.7,43103.0,2.6,85.0,High,9.8
Kenya,KEN,88.0,P,2018,6.5,1816.0,2.6,71.0,High,52.6
Nigeria,NGA,88.0,P,2018,6.1,2097.0,9.0,79.0,High,201.0
Honduras,HND,88.0,W,2020,4.3,2578.0,5.7,84.0,High,9.9
Cameroon,CMR,88.0,P,2018,5.5,1534.0,3.6,75.0,High,25.9
Benin,BEN,87.0,P,2018,6.7,985.0,1.7,74.0,High,11.8
Cambodia,KHM,87.0,W,2021,7.6,1643.0,0.4,80.0,High,16.5
Chad,TCD,86.0,P,2018,5.1,671.0,1.7,64.0,High,15.9
Côte d'Ivoire,CIV,86.0,P,2018,5.6,2286.0,2.4,72.0,High,25.7
Laos,LAO,86.0,P,2019,6.3,2535.0,1.1,79.0,High,7.2
Egypt,EGY,85.0,P,2019,4.4,3019.0,7.9,83.0,High,100.4
Malaysia,MYS,85.0,W,2019,6.2,11415.0,3.3,85.0,High,31.9
Gabon,GAB,84.0,P,2018,11.1,7717.0,20.4,77.0,High,2.2
Nicaragua,NIC,84.0,W,2020,6.2,1878.0,5.3,80.0,High,6.5
Guatemala,GTM,84.0,W,2020,4.4,4620.0,2.5,81.0,High,17.6
Thailand,THA,83.0,W,2018,7.1,7808.0,0.7,82.0,High,69.6
Brazil,BRA,83.0,W,2018,6.4,8717.0,11.9,90.0,High,211.0
Nepal,NPL,83.0,W,2020,10.5,1071.0,11.4,78.0,High,28.6
Mauritius,MUS,83.0,G,2019,7.8,10956.0,6.7,85.0,High,1.3
Bolivia,BOL,82.0,W,2017,11.1,3552.0,4.0,82.0,High,11.5
Kyrgyzstan,KGZ,82.0,W,2018,13.1,1309.0,6.9,83.0,High,6.5
Paraguay,PRY,82.0,W,2018,7.1,5413.0,5.7,86.0,High,7.1
El Salvador,SLV,82.0,W,2020,8.8,4188.0,4.0,82.0,High,6.5
Jordan,JOR,81.0,W,2018,2.4,4298.0,19.1,79.0,High,10.1
India,IND,80.0,W,2022,12.7,2100.0,5.4,77.0,High,1366.0
Jamaica,JAM,79.0,P,2019,3.3,5330.0,7.7,80.0,High,3.0
Botswana,BWA,79.0,P,2018,10.7,7962.0,17.5,71.0,High,2.3
Costa Rica,CRI,79.0,W,2018,8.3,12238.0,11.8,88.0,High,5.1
Venezuela,VEN,78.0,W,2018,6.3,2548.0,35.0,76.0,High,28.5
Mexico,MEX,78.0,W,2018,5.3,9863.0,3.5,89.0,High,127.6
Iraq,IRQ,77.0,W,2019,3.6,5821.0,13.8,77.0,High,39.3
Trinidad & Tobago,TTO,77.0,P,2019,13.3,16251.0,3.9,82.0,High,1.4
Ecuador,ECU,76.0,W,2018,9.8,6186.0,3.8,83.0,High,17.4
Panama,PAN,76.0,W,2019,5.5,15731.0,7.1,84.0,High,4.2
Dominican Republic,DOM,76.0,W,2018,5.9,8279.0,6.0,82.0,High,10.7
Armenia,ARM,75.0,W,2018,4.7,4551.0,18.0,78.0,High,3.0
Albania,ALB,75.0,W,2018,4.5,5269.0,11.5,76.0,High,2.9
South Africa,ZAF,75.0,G,2019,11.6,6001.0,28.5,82.0,High,58.6
Turkey,TUR,75.0,W,2018,5.9,9127.0,13.7,85.0,High,83.4
Bosnia,BIH,74.0,W,2020,11.2,5965.0,15.7,79.0,High,3.3
Colombia,COL,73.0,W,2018,5.8,6432.0,10.6,90.0,High,50.4
Georgia,GEO,73.0,W,2018,5.0,4734.0,11.6,80.0,High,3.7
Kuwait,KWT,72.0,W,2019,2.0,35142.0,2.1,84.0,High,4.2
Romania,ROU,72.0,W,2018,12.0,12919.0,3.9,82.0,High,19.3
Azerbaijan,AZE,71.0,W,2018,2.6,4794.0,6.8,81.0,High,10.1
Peru,PER,70.0,W,2018,3.0,6949.0,3.9,86.0,High,32.5
Poland,POL,68.0,W,2017,11.0,15656.0,3.2,91.0,High,38.0
North Macedonia,MKD,68.0,W,2020,7.8,6082.0,17.3,76.0,High,2.1
Argentina,ARG,65.0,W,2017,8.5,9888.0,9.8,92.0,High,44.9
Moldova,MDA,64.0,W,2020,16.4,3447.0,3.0,77.0,High,2.7
Cyprus,CYP,64.0,W,2018,4.8,27827.0,7.1,85.0,High,1.2
Kazakhstan,KAZ,64.0,W,2018,18.9,9732.0,4.8,85.0,High,18.6
Croatia,HRV,63.0,W,2017,11.8,14910.0,6.6,84.0,High,4.1
Singapore,SGP,61.0,G,2019,7.8,65234.0,2.3,89.0,High,5.8
Italy,ITA,60.0,W,2018,6.3,33190.0,10.0,93.0,High,59.6
Cuba,CUB,55.0,G,2019,13.0,8820.0,1.1,82.0,Medium,11.3
Serbia,SRB,55.0,W,2017,16.1,7412.0,10.4,80.0,Medium,7.0
United States,USA,53.0,W,2017,16.1,65281.0,3.7,92.0,Medium,328.2
Chile,CHL,52.0,W,2018,10.4,14896.0,7.1,89.0,Medium,19.1
Iran,IRN,51.0,W,2020,5.2,2756.0,10.8,85.0,Medium,82.9
Ukraine,UKR,50.0,W,2020,22.4,3660.0,8.6,81.0,Medium,44.4
Ireland,IRL,50.0,P,2018,10.5,79693.0,5.0,95.0,Medium,4.9
Portugal,PRT,48.0,P,2018,10.7,22440.0,6.5,92.0,Medium,10.3
Mongolia,MNG,46.0,W,2021,15.6,4168.0,6.3,83.0,Medium,3.2
Spain,ESP,45.0,W,2017,8.0,29614.0,14.1,94.0,Medium,47.1
Vietnam,VNM,45.0,W,2020,7.0,2715.0,2.0,87.0,Medium,96.5
Uruguay,URY,43.0,W,2018,15.5,16190.0,8.9,90.0,Medium,3.5
Lebanon,LBN,43.0,W,2018,3.4,8269.0,11.4,80.0,Medium,6.9
Canada,CAN,42.0,P,2018,12.1,46195.0,5.7,93.0,Medium,37.6
Greece,GRC,40.0,W,2017,5.1,18169.0,17.3,81.0,Medium,10.7
Lithuania,LTU,40.0,W,2018,31.9,19566.0,6.3,87.0,Medium,2.8
Bulgaria,BGR,38.0,W,2017,10.8,9969.0,4.2,80.0,Medium,7.0
Slovakia,SVK,38.0,W,2017,11.5,19157.0,5.8,89.0,Medium,5.5
Israel,ISR,37.0,W,2020,5.6,43689.0,3.8,90.0,Medium,9.1
New Zealand,NZL,35.0,W,2020,13.1,42050.0,4.0,94.0,Medium,4.9
Russia,RUS,34.0,W,2022,26.5,11498.0,4.6,83.0,Medium,144.4
Austria,AUT,33.0,P,2018,13.3,50277.0,4.5,92.0,Medium,9.0
Belarus,BLR,32.0,W,2020,22.5,6329.0,4.2,85.0,Medium,9.5
Germany,DEU,30.0,P,2018,12.3,46468.0,3.2,93.0,Medium,83.1
Switzerland,CHE,30.0,P,2018,13.0,85135.0,4.4,93.0,Medium,8.6
Hungary,HUN,28.0,W,2017,19.1,16476.0,3.4,84.0,Low,9.8
United Kingdom,GBR,27.0,P,2018,8.1,42330.0,3.8,94.0,Low,66.8
Finland,FIN,25.0,P,2018,15.8,48783.0,6.7,94.0,Low,5.5
South Korea,KOR,25.0,W,2018,23.0,31762.0,3.8,81.0,Low,51.7
Belgium,BEL,24.0,P,2018,17.0,46419.0,5.4,91.0,Low,11.5
Australia,AUS,22.0,W,2021,12.0,55057.0,5.2,94.0,Low,25.5
Slovenia,SVN,20.0,W,2017,17.1,25517.0,4.4,92.0,Low,2.1
Latvia,LVA,20.0,W,2018,19.0,18060.0,6.3,88.0,Low,1.9
Norway,NOR,20.0,P,2018,12.5,75419.0,3.7,95.0,Low,5.3
France,FRA,18.0,P,2018,13.8,40492.0,8.4,90.0,Low,67.1
Netherlands,NLD,15.0,P,2018,11.6,52447.0,3.4,93.0,Low,17.3
Denmark,DNK,14.0,P,2018,11.4,60609.0,5.0,95.0,Low,5.8
Sweden,SWE,12.0,P,2018,14.5,51405.0,6.8,92.0,Low,10.3
Czech Republic,CZE,10.0,W,2017,14.4,23499.0,2.0,90.0,Low,10.7
Japan,JPN,8.0,W,2019,15.3,40247.0,2.4,89.0,Low,126.3
Estonia,EST,7.0,W,2018,17.8,23673.0,4.4,90.0,Low,1.3
China,CHN,3.0,W,2018,9.7,10262.0,4.3,87.0,Low,1400.1
